negative,positive
9.997587800025939941e-01,2.412749017821624875e-04
9.426660537719726562e-01,5.733397603034973145e-02
8.423094749450683594e-01,1.576905250549316406e-01
8.901366032660007477e-03,9.910985827445983887e-01
9.989590644836425781e-01,1.040972769260406494e-03
9.042471647262573242e-01,9.575276821851730347e-02
9.972369670867919922e-01,2.762993331998586655e-03
5.666438490152359009e-03,9.943336248397827148e-01
7.930275052785873413e-02,9.206972718238830566e-01
2.122758924961090088e-01,7.877241373062133789e-01
1.039895461872220039e-03,9.989601373672485352e-01
1.156688109040260315e-01,8.843311667442321777e-01
4.703674837946891785e-02,9.529632925987243652e-01
9.693091511726379395e-01,3.069079667329788208e-02
1.013643946498632431e-02,9.898635745048522949e-01
1.617901585996150970e-02,9.838210344314575195e-01
9.997604489326477051e-01,2.395977644482627511e-04
6.322254776023328304e-04,9.993677735328674316e-01
2.258824184536933899e-03,9.977412223815917969e-01
9.997501969337463379e-01,2.498163667041808367e-04
1.592021435499191284e-01,8.407978415489196777e-01
9.997603297233581543e-01,2.396178606431931257e-04
8.926645852625370026e-03,9.910733103752136230e-01
9.997606873512268066e-01,2.392813330516219139e-04
6.787339225411415100e-04,9.993212223052978516e-01
9.997619986534118652e-01,2.379853540332987905e-04
2.872390151023864746e-01,7.127609848976135254e-01
5.276874452829360962e-02,9.472312331199645996e-01
9.997449517250061035e-01,2.550460339989513159e-04
4.759153127670288086e-01,5.240846276283264160e-01
1.007179990410804749e-01,8.992820382118225098e-01
9.969587326049804688e-01,3.041320480406284332e-03
9.298115372657775879e-01,7.018846273422241211e-02
3.028088994324207306e-02,9.697191715240478516e-01
4.311709105968475342e-01,5.688291192054748535e-01
3.338877344503998756e-03,9.966611862182617188e-01
1.961149126291275024e-01,8.038851022720336914e-01
9.960073828697204590e-01,3.992649726569652557e-03
9.789112806320190430e-01,2.108872868120670319e-02
2.394154220819473267e-01,7.605846524238586426e-01
2.808004850521683693e-03,9.971919655799865723e-01
9.997629523277282715e-01,2.370351576246321201e-04
9.997602105140686035e-01,2.397739299340173602e-04
9.997524619102478027e-01,2.475421060808002949e-04
9.997524619102478027e-01,2.475421060808002949e-04
9.997639060020446777e-01,2.361024962738156319e-04
8.310715556144714355e-01,1.689283996820449829e-01
2.619088394567370415e-03,9.973809123039245605e-01
3.512784093618392944e-02,9.648721218109130859e-01
9.997593760490417480e-01,2.406697167316451669e-04
2.936948090791702271e-03,9.970631003379821777e-01
2.431126981973648071e-01,7.568873167037963867e-01
9.873837828636169434e-01,1.261629257351160049e-02
9.991703033447265625e-01,8.297053864225745201e-04
9.956786036491394043e-01,4.321453161537647247e-03
4.448537528514862061e-02,9.555146098136901855e-01
6.743452977389097214e-03,9.932565689086914062e-01
1.387155055999755859e-01,8.612844944000244141e-01
9.974926710128784180e-01,2.507336204871535301e-03
4.086797535419464111e-01,5.913202762603759766e-01
3.907923586666584015e-03,9.960920214653015137e-01
6.394559890031814575e-02,9.360544085502624512e-01
6.394559890031814575e-02,9.360544085502624512e-01
8.573861718177795410e-01,1.426138728857040405e-01
9.995688796043395996e-01,4.310634103603661060e-04
8.761540986597537994e-03,9.912384152412414551e-01
3.649961650371551514e-01,6.350038647651672363e-01
1.640756381675601006e-03,9.983592629432678223e-01
9.997588992118835449e-01,2.411093155387789011e-04
9.997610449790954590e-01,2.389452856732532382e-04
2.144674770534038544e-02,9.785532951354980469e-01
7.375554442405700684e-01,2.624445557594299316e-01
9.278708137571811676e-03,9.907213449478149414e-01
9.954232573509216309e-01,4.576726816594600677e-03
9.665294783189892769e-04,9.990334510803222656e-01
9.871216416358947754e-01,1.287838537245988846e-02
7.608925551176071167e-02,9.239107370376586914e-01
9.990912675857543945e-01,9.086853824555873871e-04
3.462845087051391602e-01,6.537154912948608398e-01
2.732461094856262207e-01,7.267539501190185547e-01
4.402648806571960449e-01,5.597351193428039551e-01
5.135467741638422012e-03,9.948645234107971191e-01
9.947639703750610352e-01,5.236011929810047150e-03
9.997612833976745605e-01,2.387769927736371756e-04
9.997314810752868652e-01,2.685461076907813549e-04
9.179748296737670898e-01,8.202517032623291016e-02
7.328192591667175293e-01,2.671806812286376953e-01
7.328192591667175293e-01,2.671806812286376953e-01
9.989907145500183105e-01,1.009321073070168495e-03
