negative,positive
9.999711513519287109e-01,2.883021807065233588e-05
9.378837943077087402e-01,6.211619079113006592e-02
7.200111746788024902e-01,2.799888253211975098e-01
6.942289415746927261e-03,9.930577278137207031e-01
9.992499947547912598e-01,7.499292842112481594e-04
8.141615986824035645e-01,1.858383715152740479e-01
9.978101849555969238e-01,2.189873252063989639e-03
4.298053216189146042e-03,9.957019686698913574e-01
1.795865744352340698e-01,8.204134106636047363e-01
1.765079200267791748e-01,8.234920501708984375e-01
2.308880910277366638e-03,9.976911544799804688e-01
1.454811096191406250e-01,8.545188307762145996e-01
3.725757449865341187e-02,9.627424478530883789e-01
9.912726283073425293e-01,8.727367036044597626e-03
8.446417748928070068e-03,9.915536046028137207e-01
2.228032425045967102e-02,9.777196645736694336e-01
9.999698400497436523e-01,3.016433402081020176e-05
2.680738689377903938e-04,9.997319579124450684e-01
4.403763450682163239e-03,9.955962300300598145e-01
9.999678134918212891e-01,3.217207631678320467e-05
6.692119687795639038e-02,9.330788254737854004e-01
9.999707937240600586e-01,2.917461097240447998e-05
1.253510639071464539e-02,9.874649047851562500e-01
9.999710321426391602e-01,2.897857120842672884e-05
3.435922553762793541e-04,9.996564388275146484e-01
9.999696016311645508e-01,3.041450872842688113e-05
2.287248820066452026e-01,7.712751030921936035e-01
7.428324967622756958e-02,9.257166981697082520e-01
9.999693632125854492e-01,3.059060691157355905e-05
5.110639929771423340e-01,4.889360666275024414e-01
9.011726826429367065e-02,9.098827242851257324e-01
9.975342750549316406e-01,2.465671394020318985e-03
9.735331535339355469e-01,2.646685577929019928e-02
1.300220564007759094e-02,9.869978427886962891e-01
3.104104697704315186e-01,6.895895004272460938e-01
3.835887648165225983e-03,9.961640834808349609e-01
5.077802538871765137e-01,4.922197163105010986e-01
9.887713789939880371e-01,1.122863590717315674e-02
9.830914139747619629e-01,1.690855436027050018e-02
1.518787145614624023e-01,8.481212854385375977e-01
2.792456885799765587e-03,9.972075819969177246e-01
9.999704360961914062e-01,2.952449722215533257e-05
9.999701976776123047e-01,2.975545612571295351e-05
9.999698400497436523e-01,3.010447289852891117e-05
9.999698400497436523e-01,3.010447289852891117e-05
9.999711513519287109e-01,2.886289803427644074e-05
6.478654146194458008e-01,3.521346151828765869e-01
1.937939319759607315e-03,9.980620741844177246e-01
6.588356941938400269e-02,9.341163635253906250e-01
9.999704360961914062e-01,2.955802483484148979e-05
4.003185778856277466e-03,9.959968328475952148e-01
2.017663121223449707e-01,7.982336878776550293e-01
9.795515537261962891e-01,2.044842578470706940e-02
9.995591044425964355e-01,4.408351960591971874e-04
9.963431954383850098e-01,3.656801301985979080e-03
3.049981594085693359e-02,9.695001840591430664e-01
3.219571197405457497e-03,9.967803955078125000e-01
7.765542715787887573e-02,9.223446249961853027e-01
9.985954165458679199e-01,1.404626178555190563e-03
7.424708604812622070e-01,2.575291395187377930e-01
4.614755511283874512e-03,9.953852295875549316e-01
1.327009946107864380e-01,8.672990202903747559e-01
1.327009946107864380e-01,8.672990202903747559e-01
8.621389865875244141e-01,1.378610581159591675e-01
9.997567534446716309e-01,2.432785404380410910e-04
1.019816566258668900e-02,9.898018240928649902e-01
9.361009299755096436e-02,9.063899517059326172e-01
9.268284775316715240e-04,9.990731477737426758e-01
9.999715089797973633e-01,2.848377698683179915e-05
9.999703168869018555e-01,2.966247484437189996e-05
5.313841253519058228e-02,9.468615055084228516e-01
2.505709528923034668e-01,7.494290471076965332e-01
1.842037541791796684e-03,9.981579184532165527e-01
9.934452772140502930e-01,6.554719060659408569e-03
6.354197976179420948e-04,9.993645548820495605e-01
9.805177450180053711e-01,1.948218420147895813e-02
1.694725453853607178e-02,9.830527305603027344e-01
9.987910389900207520e-01,1.209040288813412189e-03
