negative,positive
9.999030828475952148e-01,9.687290003057569265e-05
8.491922616958618164e-01,1.508077830076217651e-01
4.932290017604827881e-01,5.067710280418395996e-01
1.152259185910224915e-01,8.847740888595581055e-01
9.967947602272033691e-01,3.205216722562909126e-03
7.461297512054443359e-01,2.538702189922332764e-01
9.968323111534118652e-01,3.167684422805905342e-03
1.083046430721879005e-03,9.989169836044311523e-01
1.408338844776153564e-01,8.591661453247070312e-01
2.197314649820327759e-01,7.802685499191284180e-01
8.694568532519042492e-04,9.991305470466613770e-01
1.022871001623570919e-03,9.989771842956542969e-01
1.169192492961883545e-01,8.830807209014892578e-01
9.882279038429260254e-01,1.177210640162229538e-02
1.639536698348820210e-03,9.983604550361633301e-01
3.712691832333803177e-03,9.962873458862304688e-01
9.998987913131713867e-01,1.012337670545093715e-04
7.101736846379935741e-04,9.992897510528564453e-01
1.792232738807797432e-03,9.982078075408935547e-01
9.998805522918701172e-01,1.194126089103519917e-04
7.056291103363037109e-01,2.943708598613739014e-01
9.998910427093505859e-01,1.089153884095139802e-04
5.232542753219604492e-03,9.947674274444580078e-01
9.999226331710815430e-01,7.738469139439985156e-05
7.062611402943730354e-04,9.992936849594116211e-01
9.999250173568725586e-01,7.494521560147404671e-05
2.166260927915573120e-01,7.833739519119262695e-01
1.737840101122856140e-02,9.826215505599975586e-01
9.999284744262695312e-01,7.155317871365696192e-05
2.015484273433685303e-01,7.984515428543090820e-01
2.255049943923950195e-01,7.744950056076049805e-01
9.964491128921508789e-01,3.550834953784942627e-03
9.876881241798400879e-01,1.231191493570804596e-02
1.597754191607236862e-03,9.984022974967956543e-01
6.589609980583190918e-01,3.410390317440032959e-01
8.072755299508571625e-04,9.991927742958068848e-01
1.656068265438079834e-01,8.343931436538696289e-01
9.962887763977050781e-01,3.711167955771088600e-03
9.777308702468872070e-01,2.226916514337062836e-02
1.086658164858818054e-01,8.913341760635375977e-01
3.322800155729055405e-03,9.966771602630615234e-01
9.998987913131713867e-01,1.011430431390181184e-04
9.999145269393920898e-01,8.551970677217468619e-05
9.999164342880249023e-01,8.349969721166417003e-05
9.999164342880249023e-01,8.349969721166417003e-05
9.999235868453979492e-01,7.643288699910044670e-05
9.358400106430053711e-01,6.415997445583343506e-02
9.498964995145797729e-02,9.050103425979614258e-01
4.099993035197257996e-02,9.590001106262207031e-01
9.999232292175292969e-01,7.679702684981748462e-05
1.491352077573537827e-02,9.850864410400390625e-01
1.932995766401290894e-01,8.067004084587097168e-01
9.875707030296325684e-01,1.242932118475437164e-02
9.919617772102355957e-01,8.038216270506381989e-03
9.922412633895874023e-01,7.758781313896179199e-03
1.176088862121105194e-02,9.882390499114990234e-01
4.622134566307067871e-02,9.537786245346069336e-01
8.891438692808151245e-02,9.110856652259826660e-01
9.965538978576660156e-01,3.446064423769712448e-03
9.638833999633789062e-01,3.611657768487930298e-02
5.367267876863479614e-03,9.946327209472656250e-01
1.525572240352630615e-01,8.474427461624145508e-01
1.525572389364242554e-01,8.474427461624145508e-01
9.580541253089904785e-01,4.194588959217071533e-02
9.965146183967590332e-01,3.485402557998895645e-03
1.737795188091695309e-03,9.982622265815734863e-01
1.731536686420440674e-01,8.268463015556335449e-01
8.082353742793202400e-04,9.991918206214904785e-01
9.999190568923950195e-01,8.092070493148639798e-05
9.999208450317382812e-01,7.914702291600406170e-05
1.776128113269805908e-01,8.223871588706970215e-01
3.053272068500518799e-01,6.946728229522705078e-01
1.513000484555959702e-02,9.848700761795043945e-01
9.950673580169677734e-01,4.932613577693700790e-03
7.320750737562775612e-04,9.992678761482238770e-01
9.582861661911010742e-01,4.171380773186683655e-02
1.091413479298353195e-02,9.890858530998229980e-01
9.970176219940185547e-01,2.982419217005372047e-03
2.987684309482574463e-01,7.012315392494201660e-01
9.261651039123535156e-01,7.383491843938827515e-02
8.114932179450988770e-01,1.885068565607070923e-01
8.322784677147865295e-03,9.916771650314331055e-01
9.871604442596435547e-01,1.283959858119487762e-02
9.999349117279052734e-01,6.502791802631691098e-05
9.996815919876098633e-01,3.184048400726169348e-04
9.229787588119506836e-01,7.702125608921051025e-02
9.580655097961425781e-01,4.193450883030891418e-02
9.580655097961425781e-01,4.193450883030891418e-02
9.962111711502075195e-01,3.788834204897284508e-03
9.969403743743896484e-01,3.059664741158485413e-03
7.308134809136390686e-04,9.992691874504089355e-01
4.980552569031715393e-02,9.501945376396179199e-01
7.543155550956726074e-01,2.456844747066497803e-01
3.466379046440124512e-01,6.533621549606323242e-01
9.972897768020629883e-01,2.710307948291301727e-03
8.708285689353942871e-01,1.291714608669281006e-01
9.999145269393920898e-01,8.541709394194185734e-05
9.959695339202880859e-01,4.030488431453704834e-03
4.122813940048217773e-01,5.877186059951782227e-01
4.769951701164245605e-01,5.230048298835754395e-01
9.932342171669006348e-01,6.765766534954309464e-03
2.562780976295471191e-01,7.437219023704528809e-01
9.800553321838378906e-01,1.994473114609718323e-02
8.121808171272277832e-01,1.878191530704498291e-01
9.900929331779479980e-01,9.907115250825881958e-03
9.926117062568664551e-01,7.388273254036903381e-03
9.999036788940429688e-01,9.626503015169873834e-05
9.999036788940429688e-01,9.626503015169873834e-05
9.972463846206665039e-01,2.753667533397674561e-03
1.771941082552075386e-03,9.982280135154724121e-01
8.170421123504638672e-01,1.829578578472137451e-01
8.170421123504638672e-01,1.829578578472137451e-01
9.999027252197265625e-01,9.730674355523660779e-05
3.494319505989551544e-03,9.965057373046875000e-01
9.903863668441772461e-01,9.613627567887306213e-03
9.924091100692749023e-01,7.590864785015583038e-03
9.921979308128356934e-01,7.802074775099754333e-03
2.630911767482757568e-02,9.736908674240112305e-01
9.984681010246276855e-01,1.531920395791530609e-03
9.848631024360656738e-01,1.513683237135410309e-02
9.971580505371093750e-01,2.841917332261800766e-03
1.469744145870208740e-01,8.530256152153015137e-01
9.939677715301513672e-01,6.032235920429229736e-03
9.999294281005859375e-01,7.055976311676204205e-05
3.948349505662918091e-02,9.605164527893066406e-01
9.568874239921569824e-01,4.311261698603630066e-02
7.858524331822991371e-04,9.992141723632812500e-01
9.968370199203491211e-01,3.162899753078818321e-03
7.409849786199629307e-04,9.992590546607971191e-01
9.971626400947570801e-01,2.837382489815354347e-03
9.993797540664672852e-01,6.202707299962639809e-04
9.961352348327636719e-01,3.864736529067158699e-03
9.998296499252319336e-01,1.703309389995411038e-04
3.893989026546478271e-01,6.106011271476745605e-01
9.999053478240966797e-01,9.467372728977352381e-05
9.999053478240966797e-01,9.467372728977352381e-05
7.125729462131857872e-04,9.992874264717102051e-01
7.125729462131857872e-04,9.992874264717102051e-01
7.125729462131857872e-04,9.992874264717102051e-01
7.125729462131857872e-04,9.992874264717102051e-01
7.125729462131857872e-04,9.992874264717102051e-01
1.276507508009672165e-02,9.872348904609680176e-01
2.697262465953826904e-01,7.302737832069396973e-01
9.055873006582260132e-02,9.094412922859191895e-01
9.769013524055480957e-01,2.309868857264518738e-02
5.735720992088317871e-01,4.264279007911682129e-01
3.805954474955797195e-03,9.961940050125122070e-01
2.951472438871860504e-02,9.704852700233459473e-01
6.117664575576782227e-01,3.882335722446441650e-01
9.884640574455261230e-01,1.153593789786100388e-02
8.875385522842407227e-01,1.124614775180816650e-01
4.807131588459014893e-01,5.192868709564208984e-01
9.961510896682739258e-01,3.848961321637034416e-03
7.014721632003784180e-01,2.985278666019439697e-01
2.625683089718222618e-03,9.973742961883544922e-01
9.698784947395324707e-01,3.012152016162872314e-02
9.234574437141418457e-01,7.654260098934173584e-02
9.207038283348083496e-01,7.929612696170806885e-02
1.280610114336013794e-01,8.719390034675598145e-01
4.772333893924951553e-03,9.952276945114135742e-01
9.661134332418441772e-02,9.033886790275573730e-01
9.924206137657165527e-01,7.579421624541282654e-03
9.979866743087768555e-01,2.013353165239095688e-03
1.683524250984191895e-02,9.831647276878356934e-01
