negative,positive
9.999957084655761719e-01,4.308766619942616671e-06
9.250249266624450684e-01,7.497505843639373779e-02
1.983858346939086914e-01,8.016141057014465332e-01
4.197774454951286316e-02,9.580222964286804199e-01
9.994530081748962402e-01,5.469542811624705791e-04
6.754095554351806641e-01,3.245904147624969482e-01
9.997088313102722168e-01,2.910948824137449265e-04
1.426477916538715363e-03,9.985735416412353516e-01
2.374858781695365906e-02,9.762513637542724609e-01
1.853065490722656250e-01,8.146933913230895996e-01
5.418178625404834747e-04,9.994581341743469238e-01
2.873776480555534363e-03,9.971262812614440918e-01
5.382001027464866638e-02,9.461799263954162598e-01
9.759629964828491211e-01,2.403694950044155121e-02
1.986100338399410248e-03,9.980138540267944336e-01
5.383258219808340073e-03,9.946168065071105957e-01
9.999961853027343750e-01,3.811976966971997172e-06
2.735140151344239712e-04,9.997264742851257324e-01
3.256378462538123131e-03,9.967435598373413086e-01
9.999963045120239258e-01,3.696376552397850901e-06
3.936997652053833008e-01,6.063002347946166992e-01
9.999957084655761719e-01,4.237315806676633656e-06
1.180421188473701477e-02,9.881957769393920898e-01
9.999955892562866211e-01,4.369979706098092720e-06
3.237752534914761782e-04,9.996762275695800781e-01
9.999957084655761719e-01,4.326348516769940034e-06
2.586894929409027100e-01,7.413105368614196777e-01
7.207845803350210190e-03,9.927921295166015625e-01
9.999959468841552734e-01,4.003459707746515051e-06
1.837972104549407959e-01,8.162027597427368164e-01
2.308897972106933594e-01,7.691102027893066406e-01
9.992295503616333008e-01,7.704620365984737873e-04
9.915060400962829590e-01,8.493937551975250244e-03
2.955296775326132774e-03,9.970447421073913574e-01
7.949028611183166504e-01,2.050971239805221558e-01
5.127156618982553482e-04,9.994872808456420898e-01
1.091528981924057007e-01,8.908470869064331055e-01
9.972534775733947754e-01,2.746522193774580956e-03
9.825145602226257324e-01,1.748547330498695374e-02
8.805190771818161011e-02,9.119480848312377930e-01
2.506252378225326538e-03,9.974937438964843750e-01
9.999957084655761719e-01,4.344287845015060157e-06
9.999960660934448242e-01,3.933499101549386978e-06
9.999955892562866211e-01,4.453684596228413284e-06
9.999955892562866211e-01,4.453684596228413284e-06
9.999959468841552734e-01,4.012947101728059351e-06
8.921561837196350098e-01,1.078438311815261841e-01
5.270359292626380920e-02,9.472963809967041016e-01
4.111467674374580383e-02,9.588853120803833008e-01
9.999958276748657227e-01,4.134487426199484617e-06
3.171051619574427605e-03,9.968289732933044434e-01
2.270254194736480713e-01,7.729746103286743164e-01
9.876329898834228516e-01,1.236697006970643997e-02
9.984701275825500488e-01,1.529882545582950115e-03
9.947252869606018066e-01,5.274730268865823746e-03
2.191478386521339417e-02,9.780852794647216797e-01
3.756405413150787354e-02,9.624359607696533203e-01
4.701692238450050354e-02,9.529830813407897949e-01
9.981373548507690430e-01,1.862662262283265591e-03
8.956792950630187988e-01,1.043207049369812012e-01
2.192352199926972389e-03,9.978076815605163574e-01
1.402237713336944580e-01,8.597762584686279297e-01
1.402237713336944580e-01,8.597762584686279297e-01
9.790073633193969727e-01,2.099267207086086273e-02
9.989655017852783203e-01,1.034521381370723248e-03
2.105086110532283783e-03,9.978949427604675293e-01
2.053508311510086060e-01,7.946491241455078125e-01
6.048292852938175201e-04,9.993951320648193359e-01
9.999961853027343750e-01,3.786205979849910364e-06
9.999961853027343750e-01,3.775781351578189060e-06
6.604947894811630249e-02,9.339504837989807129e-01
2.789756059646606445e-01,7.210244536399841309e-01
4.973861854523420334e-03,9.950261712074279785e-01
9.985476136207580566e-01,1.452339813113212585e-03
3.864791651722043753e-04,9.996135830879211426e-01
8.998945951461791992e-01,1.001053750514984131e-01
2.350730448961257935e-02,9.764926433563232422e-01
9.988765120506286621e-01,1.123427879065275192e-03
2.755907177925109863e-01,7.244093418121337891e-01
8.626152276992797852e-01,1.373847275972366333e-01
7.715966105461120605e-01,2.284033894538879395e-01
2.616644138470292091e-03,9.973832964897155762e-01
9.921582937240600586e-01,7.841757498681545258e-03
9.999958276748657227e-01,4.175941285211592913e-06
9.999954700469970703e-01,4.527116743702208623e-06
9.486905932426452637e-01,5.130937695503234863e-02
9.616643786430358887e-01,3.833558410406112671e-02
9.616643786430358887e-01,3.833558410406112671e-02
9.992857575416564941e-01,7.142839021980762482e-04
9.993174076080322266e-01,6.826053140684962273e-04
2.739966439548879862e-04,9.997259974479675293e-01
3.162793442606925964e-02,9.683720469474792480e-01
7.885373830795288086e-01,2.114626020193099976e-01
2.025397717952728271e-01,7.974601984024047852e-01
9.993438124656677246e-01,6.561992340721189976e-04
9.033197164535522461e-01,9.668033570051193237e-02
9.999959468841552734e-01,4.059975708514684811e-06
9.988232254981994629e-01,1.176754827611148357e-03
4.369518756866455078e-01,5.630481243133544922e-01
2.815780937671661377e-01,7.184219360351562500e-01
9.999734163284301758e-01,2.659903839230537415e-05
3.250586092472076416e-01,6.749414205551147461e-01
9.857870340347290039e-01,1.421299669891595840e-02
8.252769112586975098e-01,1.747230738401412964e-01
9.910603165626525879e-01,8.939687162637710571e-03
9.999903440475463867e-01,9.597548341844230890e-06
9.999961853027343750e-01,3.859324806398944929e-06
9.999961853027343750e-01,3.859324806398944929e-06
9.995778203010559082e-01,4.221576382406055927e-04
8.890602621249854565e-04,9.991108775138854980e-01
7.228702306747436523e-01,2.771297991275787354e-01
7.228702306747436523e-01,2.771297991275787354e-01
9.999963045120239258e-01,3.752316388272447512e-06
1.960824243724346161e-03,9.980391860008239746e-01
9.900541305541992188e-01,9.945833124220371246e-03
9.887758493423461914e-01,1.122422702610492706e-02
9.926047325134277344e-01,7.395221386104822159e-03
6.939600687474012375e-03,9.930604696273803711e-01
9.999953508377075195e-01,4.675237960327649489e-06
9.852256178855895996e-01,1.477441657334566116e-02
9.998333454132080078e-01,1.666836178628727794e-04
1.517088860273361206e-01,8.482910990715026855e-01
9.964430928230285645e-01,3.556869691237807274e-03
9.999957084655761719e-01,4.237703706166939810e-06
4.342078790068626404e-02,9.565792679786682129e-01
9.826633930206298828e-01,1.733662933111190796e-02
6.581668276339769363e-04,9.993417859077453613e-01
9.993417859077453613e-01,6.582305650226771832e-04
4.550177836790680885e-04,9.995449185371398926e-01
9.995310306549072266e-01,4.689581983257085085e-04
9.999907016754150391e-01,9.273655450670048594e-06
9.978883862495422363e-01,2.111664507538080215e-03
9.999954700469970703e-01,4.520269612839911133e-06
6.184351444244384766e-01,3.815648853778839111e-01
9.999952316284179688e-01,4.767457994603319094e-06
9.999952316284179688e-01,4.767457994603319094e-06
3.005352627951651812e-04,9.996994733810424805e-01
3.005352627951651812e-04,9.996994733810424805e-01
3.005352627951651812e-04,9.996994733810424805e-01
3.005352627951651812e-04,9.996994733810424805e-01
3.005352627951651812e-04,9.996994733810424805e-01
1.753987558186054230e-02,9.824601411819458008e-01
3.216743767261505127e-01,6.783255934715270996e-01
6.993562728166580200e-02,9.300643801689147949e-01
9.828171730041503906e-01,1.718279533088207245e-02
1.763326972723007202e-01,8.236672878265380859e-01
3.844957565888762474e-03,9.961550831794738770e-01
4.357688128948211670e-02,9.564231038093566895e-01
4.214530885219573975e-01,5.785469412803649902e-01
9.904762506484985352e-01,9.523717686533927917e-03
9.092493653297424316e-01,9.075061231851577759e-02
3.329891562461853027e-01,6.670108437538146973e-01
9.982476234436035156e-01,1.752342330291867256e-03
8.316892981529235840e-01,1.683107465505599976e-01
1.157925697043538094e-03,9.988420605659484863e-01
9.353192448616027832e-01,6.468080729246139526e-02
9.238540530204772949e-01,7.614592462778091431e-02
9.478944540023803711e-01,5.210552364587783813e-02
1.039894148707389832e-01,8.960105776786804199e-01
1.436923746950924397e-03,9.985631108283996582e-01
5.470145121216773987e-02,9.452986121177673340e-01
9.935321807861328125e-01,6.467849016189575195e-03
9.999371767044067383e-01,6.280332308961078525e-05
8.584357798099517822e-03,9.914156794548034668e-01
3.396574873477220535e-03,9.966033697128295898e-01
3.396574873477220535e-03,9.966033697128295898e-01
9.404249140061438084e-04,9.990596175193786621e-01
3.362750634551048279e-03,9.966372251510620117e-01
1.905000954866409302e-02,9.809500575065612793e-01
1.467447495087981224e-03,9.985325336456298828e-01
9.999957084655761719e-01,4.322319000493735075e-06
9.999961853027343750e-01,3.831322374026058242e-06
9.077205657958984375e-01,9.227939695119857788e-02
3.226433098316192627e-01,6.773566603660583496e-01
4.454629379324615002e-04,9.995545744895935059e-01
9.999960660934448242e-01,3.938656846003141254e-06
8.749012947082519531e-01,1.250986456871032715e-01
9.905709028244018555e-01,9.429062716662883759e-03
9.532325863838195801e-01,4.676738753914833069e-02
5.397049244493246078e-04,9.994602799415588379e-01
9.999958276748657227e-01,4.182425982435233891e-06
5.225828499533236027e-04,9.994774460792541504e-01
9.989302754402160645e-01,1.069727470166981220e-03
8.926155567169189453e-01,1.073844209313392639e-01
1.820071786642074585e-01,8.179928064346313477e-01
9.913461804389953613e-01,8.653810247778892517e-03
3.945733606815338135e-02,9.605426192283630371e-01
9.973629117012023926e-01,2.637058729305863380e-03
1.759360730648040771e-02,9.824063777923583984e-01
9.999961853027343750e-01,3.793781843342003413e-06
2.674355171620845795e-03,9.973256587982177734e-01
9.988102912902832031e-01,1.189745729789137840e-03
1.059981761500239372e-03,9.989400506019592285e-01
9.999964237213134766e-01,3.613823082559974864e-06
2.414516173303127289e-03,9.975855350494384766e-01
4.536966085433959961e-01,5.463033914566040039e-01
2.643383741378784180e-01,7.356616258621215820e-01
6.721587269566953182e-04,9.993278980255126953e-01
9.723973274230957031e-01,2.760266698896884918e-02
9.926589131355285645e-01,7.341081742197275162e-03
9.999958276748657227e-01,4.162486675340915099e-06
9.997754693031311035e-01,2.245250943815335631e-04
1.271381508558988571e-03,9.987285733222961426e-01
6.712624430656433105e-02,9.328737854957580566e-01
9.806494712829589844e-01,1.935056969523429871e-02
1.816582516767084599e-03,9.981834292411804199e-01
9.999958276748657227e-01,4.192613687337143347e-06
9.500777721405029297e-01,4.992225766181945801e-02
8.623439935036003590e-04,9.991376399993896484e-01
9.999959468841552734e-01,4.111454472877085209e-06
9.999961853027343750e-01,3.864367045025574043e-06
5.052000633440911770e-04,9.994947910308837891e-01
9.724403619766235352e-01,2.755966223776340485e-02
9.724403619766235352e-01,2.755966223776340485e-02
2.417759895324707031e-01,7.582240104675292969e-01
1.597419381141662598e-03,9.984025359153747559e-01
8.758051395416259766e-01,1.241948753595352173e-01
3.565029473975300789e-04,9.996434450149536133e-01
2.603279426693916321e-03,9.973967075347900391e-01
5.716698169708251953e-01,4.283301830291748047e-01
