negative,positive
9.997538924217224121e-01,2.461354597471654415e-04
7.280141711235046387e-01,2.719858288764953613e-01
2.291061878204345703e-01,7.708938121795654297e-01
2.261837013065814972e-03,9.977381229400634766e-01
9.991585016250610352e-01,8.415643242187798023e-04
7.633680105209350586e-01,2.366320192813873291e-01
9.985016584396362305e-01,1.498354482464492321e-03
1.369358599185943604e-02,9.863064289093017578e-01
1.665276288986206055e-01,8.334724307060241699e-01
1.806370019912719727e-01,8.193629980087280273e-01
4.106403794139623642e-03,9.958935976028442383e-01
4.549469426274299622e-02,9.545053243637084961e-01
1.040251776576042175e-01,8.959748148918151855e-01
9.780617952346801758e-01,2.193820290267467499e-02
1.371055282652378082e-02,9.862895011901855469e-01
1.712479256093502045e-02,9.828752279281616211e-01
9.997538924217224121e-01,2.461459953337907791e-04
5.436979117803275585e-04,9.994563460350036621e-01
5.839215591549873352e-03,9.941607117652893066e-01
9.997532963752746582e-01,2.467065933160483837e-04
1.844750344753265381e-01,8.155249357223510742e-01
9.997535347938537598e-01,2.465006546117365360e-04
3.117457963526248932e-02,9.688254594802856445e-01
9.997537732124328613e-01,2.461950643919408321e-04
6.526818033307790756e-04,9.993472695350646973e-01
9.997540116310119629e-01,2.459437819197773933e-04
1.458768546581268311e-01,8.541231155395507812e-01
5.183715373277664185e-02,9.481628537178039551e-01
9.997529387474060059e-01,2.470276376698166132e-04
3.383186757564544678e-01,6.616813540458679199e-01
6.327504664659500122e-02,9.367249608039855957e-01
9.993132352828979492e-01,6.867290940135717392e-04
9.695604443550109863e-01,3.043951280415058136e-02
5.268578976392745972e-02,9.473142623901367188e-01
7.560819387435913086e-01,2.439180761575698853e-01
5.587195511907339096e-03,9.944128394126892090e-01
3.831235170364379883e-01,6.168764829635620117e-01
9.867754578590393066e-01,1.322445739060640335e-02
9.925449490547180176e-01,7.455031387507915497e-03
3.814661204814910889e-01,6.185338497161865234e-01
3.461692249402403831e-03,9.965382814407348633e-01
9.997535347938537598e-01,2.465124125592410564e-04
9.997535347938537598e-01,2.464150893501937389e-04
9.997535347938537598e-01,2.464080462232232094e-04
9.997535347938537598e-01,2.464080462232232094e-04
9.997536540031433105e-01,2.463094133418053389e-04
8.662863969802856445e-01,1.337135583162307739e-01
5.448512732982635498e-03,9.945514798164367676e-01
7.691809907555580139e-03,9.923081398010253906e-01
9.997538924217224121e-01,2.460627292748540640e-04
4.069426562637090683e-03,9.959306120872497559e-01
2.488738447427749634e-01,7.511261701583862305e-01
9.638591408729553223e-01,3.614080697298049927e-02
9.980159997940063477e-01,1.984013710170984268e-03
9.880949258804321289e-01,1.190510112792253494e-02
5.895952507853507996e-02,9.410404562950134277e-01
2.105012722313404083e-02,9.789499044418334961e-01
9.465138614177703857e-02,9.053485989570617676e-01
9.986536502838134766e-01,1.346365548670291901e-03
7.721111774444580078e-01,2.278888225555419922e-01
1.300544943660497665e-02,9.869945645332336426e-01
3.634736239910125732e-01,6.365264058113098145e-01
3.634736239910125732e-01,6.365264058113098145e-01
8.008630275726318359e-01,1.991368979215621948e-01
9.992710947990417480e-01,7.289571221917867661e-04
9.779068641364574432e-03,9.902209043502807617e-01
3.014159947633743286e-02,9.698584079742431641e-01
1.579693285748362541e-03,9.984203577041625977e-01
9.997540116310119629e-01,2.459623210597783327e-04
9.997536540031433105e-01,2.463051932863891125e-04
2.296964526176452637e-01,7.703035473823547363e-01
3.212814331054687500e-01,6.787185668945312500e-01
4.077694844454526901e-03,9.959223270416259766e-01
9.984654188156127930e-01,1.534600974991917610e-03
1.604605582542717457e-03,9.983953833580017090e-01
9.674352407455444336e-01,3.256472945213317871e-02
5.058824550360441208e-03,9.949412345886230469e-01
9.994369149208068848e-01,5.630301893688738346e-04
2.710968554019927979e-01,7.289031147956848145e-01
8.329563140869140625e-01,1.670437008142471313e-01
7.878403663635253906e-01,2.121596783399581909e-01
2.125437930226325989e-02,9.787456989288330078e-01
9.947576522827148438e-01,5.242408718913793564e-03
9.997535347938537598e-01,2.465013531036674976e-04
9.997534155845642090e-01,2.465582219883799553e-04
8.345394134521484375e-01,1.654606312513351440e-01
8.913633227348327637e-01,1.086366921663284302e-01
8.913633227348327637e-01,1.086366921663284302e-01
9.991310238838195801e-01,8.690079557709395885e-04
9.973853230476379395e-01,2.614632714539766312e-03
5.514445947483181953e-04,9.994485974311828613e-01
1.795450225472450256e-02,9.820454716682434082e-01
9.278263449668884277e-01,7.217364758253097534e-02
5.692638158798217773e-01,4.307361245155334473e-01
9.973353743553161621e-01,2.664627041667699814e-03
9.444272518157958984e-01,5.557272583246231079e-02
9.997538924217224121e-01,2.461455296725034714e-04
9.991251826286315918e-01,8.747901301831007004e-04
2.393673956394195557e-01,7.606326341629028320e-01
1.248507350683212280e-01,8.751493096351623535e-01
9.997416138648986816e-01,2.583197492640465498e-04
4.919890761375427246e-01,5.080109238624572754e-01
9.491560459136962891e-01,5.084396898746490479e-02
8.384233117103576660e-01,1.615766584873199463e-01
9.965485930442810059e-01,3.451463067904114723e-03
9.984959363937377930e-01,1.504020881839096546e-03
9.997540116310119629e-01,2.460056857671588659e-04
9.997540116310119629e-01,2.460056857671588659e-04
9.997206330299377441e-01,2.793440653476864100e-04
